TeamID,TeamName
2436,californiamurray st
2512,north carolinafiu
2434,ohio stalcorn
2500,syracusealbany
2321,californiadetroit
2614,north carolinan.c. central
2745,syracuserobert morris
2510,n.c. stategeorgia st
2567,ohio stjames madison
2534,appalachian stnc wilmington
2555,arizona stw illinois
2224,arkansasalcorn
2430,auburnniagara
2557,ball stvalparaiso
2437,baylornorfolk st
2465,belmontportland st
2387,boise stloy marymount
2301,boston collegedartmouth
2518,brownSaint Francis (NY)
2273,brigham youngbradley
2571,charlotten.c. asheville
2497,clemsonpresbyterian
2315,coastal carcharleston
2275,coloradoark pine bluff
2574,colorado stcalifornia-davis
2619,connecticutwilliam & mary
2603,dukenc greensboro
2493,duquesnenicholls
2341,fairfieldcentral conn
2457,george masonliberty
2615,georgetowntulane
2517,georgianew orleans
2438,harvardholy cross
2599,hawai'isouthern utah
2653,idahoutah
2416,illinoisedwardsville
2455,indianahoward
2364,ionaboston
2461,iowa stidaho st
2462,kansashofstra
2503,kansas stloyola (il)
2604,kentsamford
2533,kentuckymorehead st
2695,lafayettewagner
2680,louisiana statela-monroe
2463,mainefordham
2413,marquettecentenary
2417,marylandcharleston so
2410,mercerbucknell
2472,michigan stfgcu
2677,minnesotatennessee tech
2393,mississippiark little rock
2482,monmouthfiu
2600,montananorth dakota
2395,morgan stalbany
2564,n coloradomcneese
2496,northern iowadenver
2617,northwesternn illinois
2777,oregonw salem st
2671,pacificpepperdine
2797,pittwofford
2480,providencebryant
2514,purduecal st. northridge
2562,quinnipiachartford
2645,radfordnavy
2519,ricecs sacramento
2631,ridermississippi st
2816,s dakota stwyoming
2820,sacred heartyale
2750,san diegostanford
2504,san franciscocal poly
2532,santa clarabakersfield
2760,seton hallsaint peter's
2771,sienatennessee st
2598,south ala.houston bap
2481,south carolinaalabama a&m
2752,south fla.smu
2538,Saint Bonaventurecleveland st
2494,saint francis (pa)american
2639,Saint John`sliu brooklyn
2566,saint joseph'sdrexel
2696,saint mary'snew mexico st
2663,stony brookmaryland - e. shore
2727,a&m-corpus chrisoregon st
2780,texas techsouth dakota
2681,towsonmiami (oh)
2865,alabama-birminghamgreen bay
2685,central floridamassachusetts
2880,utah stweber st
2725,utah valleyn dakota st
2842,texas-el pasotexas southern
2559,va commonwealthbethune-cookman
2629,villanovaf dickinson
2693,virginialongwood
2779,wake forestoral roberts
2909,washingtonwright st
2740,washington stmiss valley st.
2926,xavieryoungstown st
2311,butlerdavidson
2606,colorado stw salem st
2269,cornellalabama
2339,daytoncreighton
2588,e illinoistoledo
2509,e michiganoakland
2441,elonlipscomb
2407,georgia techflorida a&m
2501,gonzagamiss valley st.
2657,kentalabama-birmingham
2666,louisiana techtex.-pan american
2573,loy marymountnorth dakota
2576,manhattann.j.i.t.
2409,mercerbryant
2414,montanaboise st
2591,nevadamontana st
2722,new mexicocal riverside
2699,oklahoma stseattle
2710,oregon stsouth dakota
2525,portlande washington
2484,princetonc michigan
2724,ricesouth ala.
2618,rutgersmarist
2756,saint louisse missouri st
2570,templedelaware
2812,green baysamford
2800,wright stportland st
2431,arizonanorthern ariz.
2225,austin peayakron
2340,baylorhartford
2444,boise stnorth dakota
2359,bradleyidaho st
2291,denverark pine bluff
2622,detroitw michigan
2587,floridastetson
2626,g washingtonnc wilmington
2377,george masondartmouth
2673,harvardwilliam & mary
2488,hawai'imcneese
2543,montanaloy marymount
2708,morgan stmaryland-baltimore county
2675,n coloradosouthern utah
2553,navylongwood
2748,north carolinavalparaiso
2456,old dominionbethune-cookman
2572,ricehouston bap
2605,sacred heartlafayette
2655,seton hallmonmouth
2545,south ala.cs sacramento
2814,texascalifornia-irvine
2736,texas techoregon st
2607,tulsafiu
2636,texas southernidaho
2858,california-davisw salem st
2527,la-monroealcorn
2661,texas san antonioiowa
2635,wake foresteast carolina
2789,washingtonportland st
2711,west virginialoyola (md)
2698,green baykent
2647,wichita stf dickinson
2694,wisconsinfort wayne
2585,wright stbelmont
2217,albanyamerican
2515,arizona sttexas st
2324,coloradocoppin st
2322,connecticutcolgate
2338,dukecoastal car
2683,hofstrayale
2521,kentuckymiami (oh)
2659,lamartex.-pan american
2650,minnesotasf austin
2385,mississippialabama st
2403,missouri stauburn
2707,notre damesaint francis (pa)
2688,penn strobert morris
2790,richmondvirginia military
2601,riderlehigh
2580,south carolinaga southern
2651,southern utahmcneese
2749,saint mary'ssan diego st
2775,texas a&msmu
2687,vanderbiltlipscomb
2772,villanovapenn
2897,w kentuckymilwaukee
2342,alabamajackson st
2508,arizona sttcu
2373,armyliu brooklyn
2513,boston collegeSaint Francis (NY)
2366,brigham youngidaho st
2331,campbelleast carolina
2303,charleston socitadel
2406,clemsonliberty
2346,coastal carelon
2383,connecticuthofstra
2363,creightonflorida a&m
2597,bakersfieldutah valley
2520,fresno stnorthern ariz.
2544,furmanpresbyterian
2334,g washingtonboston
2524,illinoisn illinois
2686,indiana stmilwaukee
2447,ionahampton
2590,long beach stpepperdine
2405,loyola (il)canisius
2704,louisiana statew kentucky
2537,marquettemaryland - e. shore
2490,niagaradrexel
2624,ohion. carolina a&t
2747,oklahomala-monroe
2709,portlandseattle
2815,california-santa barbaraweber st
2691,sienanortheastern
2767,Saint John`sSaint Bonaventure
2818,tennesseen.c. asheville
2523,tulsaark little rock
2652,alabama-birminghamjacksonville st
2640,central floridahoward
2840,southern californiacal riverside
2861,virginia technc greensboro
2667,woffordgeorgia
2594,xavierbowling green
2486,arkansas stse missouri st
2460,butlernorthwestern
2368,c michiganil chicago
2558,cincinnatitoledo
2379,evansvilleedwardsville
2400,floridaga southern
