Season,T1TeamID,T2TeamID,T1Score_sum,T1Score_max,T1Score_min,T1Score_mean,T1FGM_sum,T1FGM_max,T1FGM_min,T1FGM_mean,T1FGA_sum,T1FGA_max,T1FGA_min,T1FGA_mean,T1FGM3_sum,T1FGM3_max,T1FGM3_min,T1FGM3_mean,T1FGA3_sum,T1FGA3_max,T1FGA3_min,T1FGA3_mean,T1FTM_sum,T1FTM_max,T1FTM_min,T1FTM_mean,T1FTA_sum,T1FTA_max,T1FTA_min,T1FTA_mean,T1OR_sum,T1OR_max,T1OR_min,T1OR_mean,T1DR_sum,T1DR_max,T1DR_min,T1DR_mean,T1Ast_sum,T1Ast_max,T1Ast_min,T1Ast_mean,T1TO_sum,T1TO_max,T1TO_min,T1TO_mean,T1Stl_sum,T1Stl_max,T1Stl_min,T1Stl_mean,T1Blk_sum,T1Blk_max,T1Blk_min,T1Blk_mean,T1PF_sum,T1PF_max,T1PF_min,T1PF_mean,T1Loc_A_sum,T1Loc_A_mean,T1Loc_H_sum,T1Loc_H_mean,T1win_sum,T1win_mean,T2Score_sum,T2Score_max,T2Score_min,T2Score_mean,T2FGM_sum,T2FGM_max,T2FGM_min,T2FGM_mean,T2FGA_sum,T2FGA_max,T2FGA_min,T2FGA_mean,T2FGM3_sum,T2FGM3_max,T2FGM3_min,T2FGM3_mean,T2FGA3_sum,T2FGA3_max,T2FGA3_min,T2FGA3_mean,T2FTM_sum,T2FTM_max,T2FTM_min,T2FTM_mean,T2FTA_sum,T2FTA_max,T2FTA_min,T2FTA_mean,T2OR_sum,T2OR_max,T2OR_min,T2OR_mean,T2DR_sum,T2DR_max,T2DR_min,T2DR_mean,T2Ast_sum,T2Ast_max,T2Ast_min,T2Ast_mean,T2TO_sum,T2TO_max,T2TO_min,T2TO_mean,T2Stl_sum,T2Stl_max,T2Stl_min,T2Stl_mean,T2Blk_sum,T2Blk_max,T2Blk_min,T2Blk_mean,T2PF_sum,T2PF_max,T2PF_min,T2PF_mean,T2Loc_A_sum,T2Loc_A_mean,T2Loc_H_sum,T2Loc_H_mean,T2win_sum,T2win_mean,T1win,T1n_coach,T2n_coach,T1Seed,T2Seed,T1538rating,T2538rating,T1FirstD1Season,T1div1period,T2FirstD1Season,T2div1period,T1conf_rate,T2conf_rate,T1distmax,T1distmin,T1distsum,T1distmean,T2distmax,T2distmin,T2distsum,T2distmean
2003,1421,1411,2065,99,50,71.20689655172414,707,33,16,24.379310344827587,1647,76,45,56.793103448275865,188,11,3,6.482758620689655,522,28,11,18.0,463,36,2,15.96551724137931,607,44,3,20.93103448275862,356,20,5,12.275862068965518,672,38,15,23.17241379310345,378,21,3,13.03448275862069,470,26,7,16.20689655172414,205,12,1,7.068965517241379,87,6,0,3.0,554,27,10,19.103448275862068,4,0.13793103448275862,24,0.8275862068965517,13,0.4482758620689655,2184,104,54,72.8,742,34,16,24.733333333333334,1658,73,39,55.266666666666666,178,12,2,5.933333333333334,555,34,4,18.5,522,30,6,17.4,842,43,11,28.066666666666666,395,29,5,13.166666666666666,744,33,14,24.8,426,22,7,14.2,457,27,10,15.233333333333333,193,13,2,6.433333333333334,67,6,0,2.2333333333333334,549,26,9,18.3,7,0.23333333333333334,19,0.6333333333333333,18,0.6,1,1,1,16,16,74.17,69.23666666666666,1987,28,1985,30,0.453,0.427,16.49095530845099,0.0,78.91615528245964,2.707425236500465,26.813285859278476,0.04040262694157251,204.11531335143556,6.475215387921559
2003,1421,1400,2065,99,50,71.20689655172414,707,33,16,24.379310344827587,1647,76,45,56.793103448275865,188,11,3,6.482758620689655,522,28,11,18.0,463,36,2,15.96551724137931,607,44,3,20.93103448275862,356,20,5,12.275862068965518,672,38,15,23.17241379310345,378,21,3,13.03448275862069,470,26,7,16.20689655172414,205,12,1,7.068965517241379,87,6,0,3.0,554,27,10,19.103448275862068,4,0.13793103448275862,24,0.8275862068965517,13,0.4482758620689655,2208,100,57,78.85714285714286,784,42,17,28.0,1748,82,48,62.42857142857143,164,14,2,5.857142857142857,470,37,9,16.785714285714285,476,32,7,17.0,666,40,9,23.785714285714285,453,26,9,16.178571428571427,732,37,19,26.142857142857142,406,25,7,14.5,376,23,8,13.428571428571429,179,18,2,6.392857142857143,108,6,0,3.857142857142857,570,35,13,20.357142857142858,5,0.17857142857142858,18,0.6428571428571429,22,0.7857142857142857,0,1,1,16,1,74.17,84.76666666666667,1987,28,1985,30,0.453,0.577,16.49095530845099,0.0,78.91615528245964,2.707425236500465,43.19638535693594,0.019916997942962016,186.87834472738848,5.8183961257905485
2003,1163,1400,2401,117,56,80.03333333333333,886,47,16,29.533333333333335,1866,84,47,62.2,182,13,1,6.066666666666666,471,23,11,15.7,447,28,5,14.9,663,37,9,22.1,443,27,7,14.766666666666667,837,36,19,27.9,469,34,8,15.633333333333333,474,24,10,15.8,178,11,1,5.933333333333334,232,15,2,7.733333333333333,552,28,13,18.4,7,0.23333333333333334,20,0.6666666666666666,21,0.7,2208,100,57,78.85714285714286,784,42,17,28.0,1748,82,48,62.42857142857143,164,14,2,5.857142857142857,470,37,9,16.785714285714285,476,32,7,17.0,666,40,9,23.785714285714285,453,26,9,16.178571428571427,732,37,19,26.142857142857142,406,25,7,14.5,376,23,8,13.428571428571429,179,18,2,6.392857142857143,108,6,0,3.857142857142857,570,35,13,20.357142857142858,5,0.17857142857142858,18,0.6428571428571429,22,0.7857142857142857,0,1,1,5,1,85.285,84.76666666666667,1985,30,1985,30,0.562,0.577,45.42389769168566,0.07072153039431962,250.91115850335123,7.852813775588027,43.19638535693594,0.019916997942962016,186.87834472738848,5.8183961257905485
2003,1277,1400,2084,82,40,67.2258064516129,714,35,15,23.032258064516128,1584,62,38,51.096774193548384,152,11,2,4.903225806451613,415,23,7,13.387096774193548,504,31,3,16.258064516129032,686,40,8,22.129032258064516,331,16,4,10.67741935483871,752,33,16,24.258064516129032,422,22,6,13.612903225806452,451,21,7,14.548387096774194,198,14,1,6.387096774193548,115,10,0,3.7096774193548385,621,28,13,20.032258064516128,5,0.16129032258064516,20,0.6451612903225806,19,0.6129032258064516,2208,100,57,78.85714285714286,784,42,17,28.0,1748,82,48,62.42857142857143,164,14,2,5.857142857142857,470,37,9,16.785714285714285,476,32,7,17.0,666,40,9,23.785714285714285,453,26,9,16.178571428571427,732,37,19,26.142857142857142,406,25,7,14.5,376,23,8,13.428571428571429,179,18,2,6.392857142857143,108,6,0,3.857142857142857,570,35,13,20.357142857142858,5,0.17857142857142858,18,0.6428571428571429,22,0.7857142857142857,0,1,1,7,1,88.29,84.76666666666667,1985,30,1985,30,0.554,0.577,41.556832610294116,0.035171993911210155,165.32015740285914,5.072242958156642,43.19638535693594,0.019916997942962016,186.87834472738848,5.8183961257905485
2003,1345,1400,2009,95,42,71.75,665,34,13,23.75,1523,69,43,54.392857142857146,143,14,1,5.107142857142857,434,27,9,15.5,536,31,5,19.142857142857142,714,40,7,25.5,291,20,4,10.392857142857142,657,36,14,23.464285714285715,343,19,4,12.25,387,20,9,13.821428571428571,201,13,1,7.178571428571429,82,8,0,2.9285714285714284,555,31,12,19.821428571428573,4,0.14285714285714285,20,0.7142857142857143,18,0.6428571428571429,2208,100,57,78.85714285714286,784,42,17,28.0,1748,82,48,62.42857142857143,164,14,2,5.857142857142857,470,37,9,16.785714285714285,476,32,7,17.0,666,40,9,23.785714285714285,453,26,9,16.178571428571427,732,37,19,26.142857142857142,406,25,7,14.5,376,23,8,13.428571428571429,179,18,2,6.392857142857143,108,6,0,3.857142857142857,570,35,13,20.357142857142858,5,0.17857142857142858,18,0.6428571428571429,22,0.7857142857142857,0,1,1,9,1,88.774,84.76666666666667,1985,30,1985,30,0.554,0.577,21.50167838246747,0.013306115174986434,114.88969187799263,3.5500750986006007,43.19638535693594,0.019916997942962016,186.87834472738848,5.8183961257905485
2003,1393,1400,2323,109,54,80.10344827586206,848,45,19,29.24137931034483,1804,82,44,62.206896551724135,152,11,1,5.241379310344827,460,26,9,15.862068965517242,475,29,5,16.379310344827587,685,41,8,23.620689655172413,415,30,5,14.310344827586206,780,36,17,26.896551724137932,434,28,7,14.96551724137931,395,26,4,13.620689655172415,241,12,3,8.310344827586206,211,13,2,7.275862068965517,481,26,10,16.586206896551722,6,0.20689655172413793,20,0.6896551724137931,24,0.8275862068965517,2208,100,57,78.85714285714286,784,42,17,28.0,1748,82,48,62.42857142857143,164,14,2,5.857142857142857,470,37,9,16.785714285714285,476,32,7,17.0,666,40,9,23.785714285714285,453,26,9,16.178571428571427,732,37,19,26.142857142857142,406,25,7,14.5,376,23,8,13.428571428571429,179,18,2,6.392857142857143,108,6,0,3.857142857142857,570,35,13,20.357142857142858,5,0.17857142857142858,18,0.6428571428571429,22,0.7857142857142857,1,1,1,3,1,82.875,84.76666666666667,1985,30,1985,30,0.562,0.577,22.3663074510052,0.015229550671310179,125.73584534698008,3.9181829249251723,43.19638535693594,0.019916997942962016,186.87834472738848,5.8183961257905485
2003,1112,1436,2386,107,65,85.21428571428571,849,41,23,30.321428571428573,1840,88,50,65.71428571428571,197,13,3,7.035714285714286,562,36,12,20.071428571428573,491,26,9,17.535714285714285,700,35,14,25.0,425,23,9,15.178571428571429,774,38,19,27.642857142857142,494,26,5,17.642857142857142,414,22,7,14.785714285714286,237,17,2,8.464285714285714,118,9,1,4.214285714285714,497,22,11,17.75,12,0.42857142857142855,15,0.5357142857142857,25,0.8928571428571429,1966,101,50,67.79310344827586,720,40,18,24.82758620689655,1620,67,44,55.86206896551724,153,10,1,5.275862068965517,449,25,6,15.482758620689655,373,27,4,12.862068965517242,567,38,10,19.551724137931036,376,20,7,12.96551724137931,746,31,17,25.724137931034484,412,27,8,14.206896551724139,408,23,9,14.068965517241379,199,17,2,6.862068965517241,86,7,0,2.9655172413793105,461,28,10,15.89655172413793,8,0.27586206896551724,16,0.5517241379310345,19,0.6551724137931034,1,1,1,1,16,88.63,79.39,1985,30,1985,30,0.541,0.456,35.643333674102216,0.026292954269342646,225.03493524553025,6.873898176518982,20.060443302190897,0.01573216803177205,101.99738460655257,3.2580560588173237
2003,1112,1211,2386,107,65,85.21428571428571,849,41,23,30.321428571428573,1840,88,50,65.71428571428571,197,13,3,7.035714285714286,562,36,12,20.071428571428573,491,26,9,17.535714285714285,700,35,14,25.0,425,23,9,15.178571428571429,774,38,19,27.642857142857142,494,26,5,17.642857142857142,414,22,7,14.785714285714286,237,17,2,8.464285714285714,118,9,1,4.214285714285714,497,22,11,17.75,12,0.42857142857142855,15,0.5357142857142857,25,0.8928571428571429,2389,110,56,77.06451612903226,808,35,16,26.06451612903226,1719,67,35,55.45161290322581,222,14,3,7.161290322580645,591,27,10,19.06451612903226,551,33,3,17.774193548387096,764,49,4,24.64516129032258,370,25,5,11.935483870967742,785,36,18,25.322580645161292,488,22,5,15.741935483870968,451,21,8,14.548387096774194,211,18,2,6.806451612903226,109,7,0,3.5161290322580645,578,26,13,18.64516129032258,11,0.3548387096774194,13,0.41935483870967744,23,0.7419354838709677,1,1,1,1,9,88.63,92.148,1985,30,1985,30,0.541,0.499,35.643333674102216,0.026292954269342646,225.03493524553025,6.873898176518982,41.03777616505605,0.02595879744711096,269.9394488019669,8.474855891413897
2003,1153,1211,1885,101,44,67.32142857142857,641,30,15,22.892857142857142,1587,68,44,56.67857142857143,187,12,3,6.678571428571429,546,27,11,19.5,416,42,4,14.857142857142858,603,58,6,21.535714285714285,340,19,6,12.142857142857142,655,34,10,23.392857142857142,344,21,5,12.285714285714286,297,22,5,10.607142857142858,145,13,1,5.178571428571429,119,9,0,4.25,531,28,11,18.964285714285715,6,0.21428571428571427,19,0.6785714285714286,17,0.6071428571428571,2389,110,56,77.06451612903226,808,35,16,26.06451612903226,1719,67,35,55.45161290322581,222,14,3,7.161290322580645,591,27,10,19.06451612903226,551,33,3,17.774193548387096,764,49,4,24.64516129032258,370,25,5,11.935483870967742,785,36,18,25.322580645161292,488,22,5,15.741935483870968,451,21,8,14.548387096774194,211,18,2,6.806451612903226,109,7,0,3.5161290322580645,578,26,13,18.64516129032258,11,0.3548387096774194,13,0.41935483870967744,23,0.7419354838709677,0,1,1,8,9,86.8875,92.148,1985,30,1985,30,0.535,0.499,24.70976554893231,0.029947456024344656,170.4466192920276,5.3364125670063,41.03777616505605,0.02595879744711096,269.9394488019669,8.474855891413897
2003,1112,1323,2386,107,65,85.21428571428571,849,41,23,30.321428571428573,1840,88,50,65.71428571428571,197,13,3,7.035714285714286,562,36,12,20.071428571428573,491,26,9,17.535714285714285,700,35,14,25.0,425,23,9,15.178571428571429,774,38,19,27.642857142857142,494,26,5,17.642857142857142,414,22,7,14.785714285714286,237,17,2,8.464285714285714,118,9,1,4.214285714285714,497,22,11,17.75,12,0.42857142857142855,15,0.5357142857142857,25,0.8928571428571429,2483,102,55,80.09677419354838,844,36,19,27.225806451612904,1881,76,43,60.67741935483871,257,13,3,8.290322580645162,675,34,12,21.774193548387096,538,39,4,17.35483870967742,708,44,7,22.838709677419356,353,22,3,11.387096774193548,833,38,18,26.870967741935484,524,26,8,16.903225806451612,396,22,8,12.774193548387096,231,14,2,7.451612903225806,175,19,2,5.645161290322581,503,25,10,16.225806451612904,6,0.1935483870967742,20,0.6451612903225806,22,0.7096774193548387,1,1,1,1,5,88.63,85.52000000000001,1985,30,1985,30,0.541,0.562,35.643333674102216,0.026292954269342646,225.03493524553025,6.873898176518982,23.83493497526342,0.003280305870464629,154.14074441983283,4.77131261928415
